"id","status","template_id","accession_number","attempts","created_at"
72,completed,110,"513415",3,2022-06-10 10:17:23.286 +0930
91,completed,100,"513686",2,2022-06-14 14:29:06.713 +0930
95,completed,100,"513723",2,2022-06-14 16:13:28.889 +0930
94,completed,100,"513722",3,2022-06-14 16:02:25.422 +0930
118,completed,100,"513965",3,2022-06-16 11:26:02.911 +0930
73,completed,100,"513437",3,2022-06-10 11:39:35.225 +0930
92,completed,100,"513687",2,2022-06-14 14:40:31.765 +0930
83,failed,99,"513606",8,2022-06-14 10:47:38.473 +0930
121,completed,96,"513981",3,2022-06-16 11:58:57.667 +0930
120,completed,100,"513973",3,2022-06-16 11:50:44.489 +0930
99,completed,100,"513753",2,2022-06-15 08:48:03.237 +0930
123,completed,100,"514001",2,2022-06-16 13:28:42.422 +0930
125,completed,96,"514031",4,2022-06-16 14:56:30.779 +0930
88,failed,99,"513660",8,2022-06-14 12:35:49.001 +0930
124,completed,96,"514011",3,2022-06-16 14:02:36.948 +0930
96,completed,100,"513724",4,2022-06-14 16:16:28.432 +0930
115,failed,99,"513941",8,2022-06-16 10:23:54.707 +0930
97,completed,110,"513744",2,2022-06-14 17:03:04.889 +0930
126,completed,110,"514055",3,2022-06-16 16:08:34.157 +0930
103,completed,100,"513808",2,2022-06-15 11:02:53.143 +0930
9,completed,96,"512596",8,2022-06-03 17:09:54.168 +0930
101,completed,100,"513773",2,2022-06-15 09:55:54.641 +0930
100,completed,100,"513765",4,2022-06-15 09:30:10.437 +0930
129,completed,96,"514073",2,2022-06-16 16:53:25.016 +0930
102,completed,96,"513801",4,2022-06-15 10:49:46.806 +0930
119,failed,99,"513970",8,2022-06-16 11:34:12.328 +0930
105,completed,100,"513843",2,2022-06-15 12:54:42.112 +0930
106,completed,100,"513844",2,2022-06-15 12:57:23.557 +0930
128,completed,100,"514070",2,2022-06-16 16:50:52.081 +0930
127,completed,99,"514069",3,2022-06-16 16:45:25.665 +0930
130,completed,110,"514077",3,2022-06-16 17:04:39.582 +0930
131,completed,96,"514095",4,2022-06-17 09:30:14.721 +0930
201,completed,96,"514587",2,2022-06-21 13:08:18.117 +0930
181,completed,100,"514458",1,2022-06-20 16:24:11.686 +0930
151,completed,96,"514262",4,2022-06-17 17:31:02.117 +0930
143,failed,110,"514190",8,2022-06-17 14:00:47.064 +0930
165,completed,96,"514357",3,2022-06-20 11:46:54.765 +0930
164,failed,100,"514344",8,2022-06-20 11:17:41.784 +0930
137,completed,100,"514150",3,2022-06-17 11:46:09.497 +0930
132,completed,100,"514124",2,2022-06-17 10:16:23.659 +0930
138,completed,100,"514153",3,2022-06-17 11:56:50.224 +0930
168,completed,100,"514368",2,2022-06-20 12:09:00.662 +0930
189,completed,96,"514532",4,2022-06-21 10:24:54.971 +0930
239,completed,100,"514910",2,2022-06-23 11:32:16.926 +0930
133,completed,100,"514125",3,2022-06-17 10:23:51.016 +0930
213,completed,96,"514697",3,2022-06-22 09:55:37.095 +0930
153,completed,100,"514272",3,2022-06-20 09:06:08.200 +0930
166,completed,99,"514364",3,2022-06-20 11:56:44.433 +0930
134,completed,100,"514132",2,2022-06-17 10:45:16.217 +0930
235,completed,100,"514882",2,2022-06-23 10:27:39.604 +0930
139,completed,100,"514162",2,2022-06-17 12:25:26.875 +0930
188,completed,110,"514527",4,2022-06-21 10:22:41.113 +0930
135,completed,100,"514135",4,2022-06-17 10:53:44.413 +0930
140,completed,110,"514163",4,2022-06-17 12:27:56.260 +0930
209,completed,100,"514636",3,2022-06-21 15:28:11.154 +0930
